"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2021","Age","13-17 Years","92.5","85.5 to 96.3","247"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2018","Age","13-17 Years","89.7","84.6 to 93.3","291"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2019","Age","13-17 Years","91.3","86.3 to 94.6","282"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2020","Age","13-17 Years","96.4","91.9 to 98.4","303"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2022","Age","13-17 Years","97.1","94.0 to 98.7","335"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2019","Age","13-17 Years","73.7","63.8 to 81.7","143"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2020","Age","13-17 Years","82.3","74.3 to 88.2","158"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2022","Age","13-17 Years","95.4","91.3 to 97.6","335"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2013","Age","13-17 Years","33.2","25.1 to 42.5","157"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2017","Age","13-17 Years","66.8","58.2 to 74.4","185"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2016","Age","13-17 Years","57.1","47.8 to 66.0","174"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2014","Age","13-17 Years","45.2","36.6 to 54.1","199"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2015","Age","13-17 Years","48.0","39.5 to 56.7","186"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2013","Age","13-17 Years","74.0","66.9 to 80.1","241"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2008","Age","13-17 Years","20.8","14.6 to 28.7","135"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2009","Age","13-17 Years","54.0","43.7 to 64.0","128"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2010","Age","13-17 Years","52.1","44.1 to 59.9","201"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2009","Age","13-17 Years","81.3","72.6 to 87.8","128"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2008","Age","13-17 Years","57.7","47.1 to 67.7","135"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2011","Age","13-17 Years","86.5","79.4 to 91.5","212"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2010","Age","13-17 Years","80.0","73.2 to 85.5","201"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2009","Age","13-17 Years","50.3","40.9 to 59.6","157"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2008","Age","13-17 Years","34.4","26.3 to 43.6","157"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2011","Age","13-17 Years","89.3","84.5 to 92.8","347"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2012","Age","13-17 Years","66.7","58.4 to 74.1","229"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2011","Age","13-17 Years","62.7","53.7 to 70.8","212"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2016","Age","13-17 Years","92.5","88.2 to 95.3","366"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2013","Age","13-17 Years","93.0","87.8 to 96.1","241"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2012","Age","13-17 Years","95.6","92.0 to 97.6","347"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2013","Age","13-17 Years","93.6","89.3 to 96.2","306"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2014","Age","13-17 Years","93.3","89.2 to 95.9","372"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2015","Age","13-17 Years","93.3","88.9 to 96.0","358"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2009","Age","13-17 Years","86.9","81.7 to 90.8","323"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2008","Age","13-17 Years","81.4","75.2 to 86.4","326"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2021","Age","13-15 Years","93.5","84.8 to 97.4","158"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2022","Age","13-15 Years","94.4","88.3 to 97.4","215"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2019","Age","13-15 Years","91.5","84.0 to 95.7","171"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2020","Age","13-15 Years","97.5","93.5 to 99.0","194"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2010","Age","13-15 Years","55.5","46.2 to 64.3","151"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2009","Age","13-15 Years","57.6","45.2 to 69.1","92"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2017","Age","13-17 Years","91.3","87.0 to 94.2","303"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2016","Age","13-17 Years","77.4","70.6 to 83.0","305"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2014","Age","13-17 Years","72.4","65.9 to 78.1","306"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2015","Age","13-17 Years","83.0","77.4 to 87.5","297"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","53.3","43.6 to 62.8","163"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2013","Age","13-17 Years","59.3","49.6 to 68.3","149"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2010","Age","13-17 Years","51.9","42.8 to 60.9","156"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","54.4","44.6 to 63.9","161"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2016","Age","13-17 Years","93.1","87.8 to 96.2","305"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2014","Age","13-17 Years","94.7","90.6 to 97.1","306"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2015","Age","13-17 Years","95.4","91.4 to 97.6","297"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2012","Age","13-17 Years","92.7","86.1 to 96.3","229"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2014","Age","13-17 Years","92.6","87.9 to 95.5","372"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2015","Age","13-17 Years","94.3","90.9 to 96.5","358"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2012","Age","13-17 Years","91.4","86.4 to 94.7","347"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2011","Age","13-17 Years","83.6","77.9 to 88.0","347"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2012","Age","13-15 Years","62.9","54.2 to 70.9","226"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2013","Age","13-15 Years","73.8","66.4 to 80.1","202"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2015","Age","13-15 Years","76.8","69.5 to 82.9","231"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2014","Age","13-15 Years","74.3","66.6 to 80.8","241"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2018","Age","13-17 Years","93.2","88.7 to 96.0","341"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2017","Age","13-17 Years","90.8","86.3 to 93.9","336"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2014","Age","13-17 Years","71.1","62.4 to 78.4","173"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2015","Age","13-17 Years","65.7","56.8 to 73.6","172"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2019","Age","13-17 Years","68.9","59.0 to 77.4","162"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2018","Age","13-17 Years","65.2","55.7 to 73.7","180"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2016","Age","13-15 Years","74.2","66.3 to 80.9","218"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2020","Age","13-17 Years","78.4","68.6 to 85.8","169"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2021","Age","13-17 Years","82.6","73.1 to 89.3","144"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018","Age","13-15 Years","87.4","80.2 to 92.3","224"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2017","Age","13-15 Years","84.5","77.3 to 89.7","222"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2022","Age","13-17 Years","75.3","65.9 to 82.7","186"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2008","Age","13-15 Years","36.0","28.7 to 44.0","204"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2010","Age","13-15 Years","57.0","49.5 to 64.1","235"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2009","Age","13-15 Years","42.9","34.9 to 51.3","200"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2017","Age","13-17 Years","66.8","60.4 to 72.6","336"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2016","Age","13-17 Years","57.5","51.0 to 63.8","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2011","Age","13-15 Years","69.4","61.4 to 76.4","215"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2013","Age","13-17 Years","91.7","87.3 to 94.6","306"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2009","Age","13-17 Years","73.8","67.7 to 79.1","323"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2010","Age","13-17 Years","77.8","72.3 to 82.4","366"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2008","Age","13-17 Years","63.6","56.9 to 69.8","326"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2017","Age","13-17 Years","93.7","90.1 to 96.0","336"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2016","Age","13-17 Years","90.0","85.4 to 93.3","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2019","Age","13-15 Years","93.9","87.2 to 97.2","185"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2008","Age","13-17 Years","28.1","20.8 to 36.7","157"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2020","Age","13-15 Years","96.3","92.8 to 98.2","206"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","46.5","37.0 to 56.3","163"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","40.2","30.8 to 50.3","161"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2009","Age","13-17 Years","39.1","30.5 to 48.4","157"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2010","Age","13-17 Years","45.0","36.2 to 54.2","156"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018","Age","13-17 Years","52.1","45.4 to 58.7","341"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2011","Age","13-17 Years","77.8","71.7 to 82.8","347"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2019","Age","13-17 Years","49.5","42.6 to 56.5","305"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2020","Age","13-17 Years","60.7","53.4 to 67.5","327"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2021","Age","13-17 Years","67.8","59.6 to 75.0","266"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2022","Age","13-17 Years","54.8","47.9 to 61.5","361"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2012","Age","13-17 Years","87.9","82.6 to 91.8","347"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2015","Age","13-17 Years","93.4","89.7 to 95.8","358"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2014","Age","13-17 Years","92.3","87.6 to 95.3","372"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2013","Age","13-17 Years","89.4","84.7 to 92.8","306"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2016","Age","13-17 Years","41.2","35.0 to 47.7","366"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2015","Age","13-15 Years","37.1","26.9 to 48.8","107"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2014","Age","13-15 Years","49.8","38.1 to 61.6","110"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2008","Age","13-17 Years","17.8","12.2 to 25.3","157"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2009","Age","13-17 Years","30.5","22.7 to 39.6","157"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2010","Age","13-17 Years","39.3","30.6 to 48.6","156"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","35.5","26.7 to 45.6","163"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","32.3","23.6 to 42.5","161"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2014","Age","13-17 Years","54.0","44.8 to 63.0","173"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2013","Age","13-17 Years","32.8","24.3 to 42.5","149"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2015","Age","13-17 Years","37.8","29.6 to 46.7","172"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2020","Age","13-15 Years","95.4","90.6 to 97.8","206"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2021","Age","13-15 Years","96.2","92.2 to 98.1","167"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2019","Age","13-15 Years","92.2","84.6 to 96.2","185"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018","Age","13-15 Years","88.9","82.3 to 93.3","224"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2009","Age","13-17 Years","54.7","48.3 to 61.1","323"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2010","Age","13-17 Years","67.7","61.7 to 73.1","366"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2022","Age","13-15 Years","93.2","87.6 to 96.4","229"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2008","Age","13-17 Years","28.0","22.8 to 33.8","326"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2017","Age","13-17 Years","51.9","45.3 to 58.4","336"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2009","Age","13-17 Years","84.1","77.7 to 88.9","323"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2008","Age","13-17 Years","82.2","76.4 to 86.8","326"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2011","Age","13-17 Years","89.4","84.6 to 92.8","347"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2010","Age","13-17 Years","85.7","80.8 to 89.5","366"
"HPV","≥2 Doses, Males","States/Local Areas","North Carolina","2015","Age","13-17 Years","40.3","32.2 to 49.0","186"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2024","Age","13-15 Years","59.4","49.5 to 68.6","125"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2024","Age","13-15 Years","68.0","56.0 to 77.9","88"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2024","Age","13-15 Years","63.5","55.9 to 70.5","213"
"Varicella","History of disease","States/Local Areas","North Carolina","2024","Age","13-17 Years","6.1","3.9 to 9.5","331"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2024","Age","13-17 Years","92.6","88.4 to 95.4","331"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2024","Age","13-17 Years","79.2","71.5 to 85.2","193"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2024","Age","13-17 Years","93.8","89.6 to 96.4","331"
